ID,CATEGORY
0,banana
1,hat
2,penguin
3,hand
4,penguin
5,violin
6,nose
7,banana
8,chair
9,keyboard
10,flashlight
11,eyeglasses
12,chair
13,hat
14,spider
15,spider
16,hat
17,nose
18,flashlight
19,hand
20,eyeglasses
21,violin
22,eyeglasses
23,laptop
24,chair
25,flashlight
26,pig
27,parrot
28,bulldozer
29,keyboard
30,snowman
31,eyeglasses
32,chair
33,flashlight
34,laptop
35,foot
36,laptop
37,hat
38,harp
39,snowman
40,bulldozer
41,trombone
42,spider
43,penguin
44,parrot
45,keyboard
46,flashlight
47,foot
48,keyboard
49,nose
50,chair
51,foot
52,chair
53,spider
54,spider
55,nose
56,snowman
57,keyboard
58,keyboard
59,nose
60,trombone
61,banana
62,skyscraper
63,flashlight
64,eyeglasses
65,pig
66,foot
67,laptop
68,keyboard
69,snowman
70,flashlight
71,chair
72,pig
73,harp
74,trombone
75,parrot
76,violin
77,harp
78,skyscraper
79,eyeglasses
80,laptop
81,penguin
82,spider
83,flashlight
84,trombone
85,eyeglasses
86,laptop
87,pig
88,violin
89,keyboard
90,flashlight
91,hand
92,bulldozer
93,banana
94,skyscraper
95,harp
96,hand
97,banana
98,violin
99,violin
100,pig
101,bulldozer
102,hand
103,violin
104,trombone
105,foot
106,spider
107,bulldozer
108,chair
109,hat
110,hat
111,harp
112,trombone
113,banana
114,banana
115,hand
116,banana
117,eyeglasses
118,skyscraper
119,skyscraper
120,flashlight
121,laptop
122,pig
123,chair
124,skyscraper
125,pig
126,trombone
127,pig
128,laptop
129,flashlight
130,penguin
131,snowman
132,hand
133,parrot
134,hat
135,violin
136,banana
137,hat
138,hat
139,trombone
140,nose
141,snowman
142,hand
143,hat
144,eyeglasses
145,harp
146,eyeglasses
147,spider
148,violin
149,spider
150,parrot
151,chair
152,foot
153,foot
154,foot
155,hand
156,pig
157,eyeglasses
158,spider
159,hat
160,eyeglasses
161,foot
162,chair
163,penguin
164,laptop
165,flashlight
166,bulldozer
167,keyboard
168,hat
169,parrot
170,parrot
171,penguin
172,pig
173,pig
174,penguin
175,banana
176,banana
177,trombone
178,flashlight
179,flashlight
180,laptop
181,laptop
182,hand
183,snowman
184,eyeglasses
185,hand
186,bulldozer
187,violin
188,spider
189,laptop
190,keyboard
191,snowman
192,trombone
193,chair
194,skyscraper
195,flashlight
196,eyeglasses
197,eyeglasses
198,pig
199,banana
200,chair
201,eyeglasses
202,chair
203,snowman
204,eyeglasses
205,flashlight
206,flashlight
207,skyscraper
208,nose
209,snowman
210,bulldozer
211,harp
212,harp
213,pig
214,nose
215,nose
216,foot
217,hand
218,eyeglasses
219,snowman
220,snowman
221,violin
222,hand
223,penguin
224,eyeglasses
225,pig
226,penguin
227,eyeglasses
228,skyscraper
229,eyeglasses
230,snowman
231,spider
232,chair
233,trombone
234,pig
235,keyboard
236,flashlight
237,foot
238,trombone
239,banana
240,parrot
241,laptop
242,flashlight
243,hand
244,violin
245,violin
246,laptop
247,trombone
248,keyboard
249,spider
250,laptop
251,bulldozer
252,parrot
253,harp
254,keyboard
255,trombone
256,hat
257,pig
258,laptop
259,pig
260,eyeglasses
261,skyscraper
262,nose
263,eyeglasses
264,laptop
265,bulldozer
266,flashlight
267,banana
268,parrot
269,chair
270,violin
271,violin
272,hat
273,bulldozer
274,penguin
275,keyboard
276,parrot
277,violin
278,nose
279,violin
280,foot
281,chair
282,snowman
283,banana
284,banana
285,trombone
286,harp
287,nose
288,keyboard
289,trombone
290,pig
291,flashlight
292,trombone
293,pig
294,laptop
295,hand
296,flashlight
297,penguin
298,penguin
299,keyboard
300,violin
301,flashlight
302,flashlight
303,penguin
304,penguin
305,penguin
306,pig
307,penguin
308,skyscraper
309,banana
310,trombone
311,pig
312,foot
313,banana
314,eyeglasses
315,eyeglasses
316,chair
317,flashlight
318,bulldozer
319,banana
320,spider
321,chair
322,banana
323,harp
324,nose
325,trombone
326,harp
327,flashlight
328,violin
329,banana
330,harp
331,trombone
332,harp
333,eyeglasses
334,spider
335,hat
336,chair
337,chair
338,violin
339,penguin
340,keyboard
341,keyboard
342,harp
343,banana
344,hat
345,hat
346,keyboard
347,banana
348,trombone
349,flashlight
350,eyeglasses
351,nose
352,snowman
353,skyscraper
354,chair
355,hat
356,bulldozer
357,bulldozer
358,penguin
359,pig
360,chair
361,violin
362,flashlight
363,skyscraper
364,penguin
365,flashlight
366,hand
367,trombone
368,pig
369,keyboard
370,spider
371,bulldozer
372,snowman
373,spider
374,penguin
375,nose
376,snowman
377,flashlight
378,violin
379,snowman
380,violin
381,nose
382,skyscraper
383,pig
384,penguin
385,bulldozer
386,hat
387,hat
388,hand
389,hand
390,hand
391,violin
392,pig
393,laptop
394,hat
395,skyscraper
396,banana
397,laptop
398,hat
399,harp
400,harp
401,eyeglasses
402,bulldozer
403,keyboard
404,snowman
405,skyscraper
406,spider
407,parrot
408,penguin
409,snowman
410,banana
411,pig
412,penguin
413,bulldozer
414,penguin
415,keyboard
416,spider
417,keyboard
418,spider
419,keyboard
420,penguin
421,laptop
422,hand
423,banana
424,bulldozer
425,laptop
426,banana
427,foot
428,eyeglasses
429,violin
430,foot
431,skyscraper
432,pig
433,pig
434,harp
435,flashlight
436,trombone
437,chair
438,trombone
439,chair
440,banana
441,keyboard
442,foot
443,violin
444,spider
445,trombone
446,spider
447,hat
448,penguin
449,bulldozer
450,hat
451,pig
452,laptop
453,hand
454,pig
455,violin
456,chair
457,laptop
458,foot
459,banana
460,chair
461,banana
462,eyeglasses
463,bulldozer
464,violin
465,penguin
466,snowman
467,foot
468,spider
469,laptop
470,bulldozer
471,laptop
472,laptop
473,banana
474,laptop
475,banana
476,harp
477,banana
478,violin
479,pig
480,harp
481,laptop
482,spider
483,eyeglasses
484,flashlight
485,spider
486,hat
487,snowman
488,flashlight
489,laptop
490,nose
491,trombone
492,keyboard
493,hat
494,spider
495,skyscraper
496,bulldozer
497,keyboard
498,trombone
499,hat
500,trombone
501,flashlight
502,harp
503,foot
504,foot
505,trombone
506,laptop
507,bulldozer
508,keyboard
509,trombone
510,skyscraper
511,eyeglasses
512,pig
513,parrot
514,penguin
515,banana
516,eyeglasses
517,pig
518,harp
519,chair
520,pig
521,hand
522,parrot
523,laptop
524,flashlight
525,penguin
526,eyeglasses
527,hat
528,hand
529,penguin
530,eyeglasses
531,eyeglasses
532,pig
533,keyboard
534,spider
535,chair
536,violin
537,keyboard
538,spider
539,hand
540,trombone
541,spider
542,laptop
543,chair
544,nose
545,penguin
546,trombone
547,bulldozer
548,penguin
549,eyeglasses
550,parrot
551,banana
552,parrot
553,skyscraper
554,bulldozer
555,parrot
556,flashlight
557,hat
558,spider
559,nose
560,banana
561,bulldozer
562,laptop
563,chair
564,keyboard
565,snowman
566,skyscraper
567,keyboard
568,hand
569,snowman
570,banana
571,spider
572,chair
573,penguin
574,harp
575,eyeglasses
576,parrot
577,hand
578,penguin
579,bulldozer
580,skyscraper
581,harp
582,nose
583,chair
584,eyeglasses
585,pig
586,violin
587,bulldozer
588,skyscraper
589,penguin
590,flashlight
591,foot
592,flashlight
593,bulldozer
594,laptop
595,harp
596,snowman
597,penguin
598,bulldozer
599,nose
600,hand
601,keyboard
602,penguin
603,skyscraper
604,chair
605,banana
606,spider
607,chair
608,hat
609,pig
610,keyboard
611,chair
612,flashlight
613,skyscraper
614,banana
615,chair
616,penguin
617,nose
618,parrot
619,trombone
620,violin
621,skyscraper
622,trombone
623,skyscraper
624,laptop
625,harp
626,foot
627,hand
628,banana
629,harp
630,violin
631,harp
632,bulldozer
633,hat
634,hat
635,eyeglasses
636,flashlight
637,spider
638,bulldozer
639,parrot
640,hat
641,penguin
642,penguin
643,parrot
644,parrot
645,flashlight
646,spider
647,hand
648,keyboard
649,penguin
650,nose
651,foot
652,flashlight
653,spider
654,hand
655,banana
656,nose
657,eyeglasses
658,banana
659,pig
660,foot
661,spider
662,banana
663,pig
664,spider
665,laptop
666,penguin
667,bulldozer
668,penguin
669,laptop
670,flashlight
671,flashlight
672,trombone
673,hat
674,pig
675,banana
676,snowman
677,hand
678,hand
679,keyboard
680,foot
681,flashlight
682,chair
683,harp
684,trombone
685,penguin
686,harp
687,chair
688,keyboard
689,keyboard
