ID,CATEGORY
0,banana
1,hat
2,penguin
3,hand
4,parrot
5,violin
6,nose
7,foot
8,chair
9,keyboard
10,flashlight
11,violin
12,flashlight
13,hat
14,spider
15,keyboard
16,bulldozer
17,nose
18,flashlight
19,hand
20,trombone
21,violin
22,eyeglasses
23,laptop
24,chair
25,chair
26,pig
27,pig
28,pig
29,keyboard
30,hat
31,flashlight
32,chair
33,banana
34,laptop
35,foot
36,pig
37,bulldozer
38,snowman
39,snowman
40,spider
41,hand
42,keyboard
43,parrot
44,skyscraper
45,keyboard
46,trombone
47,foot
48,keyboard
49,nose
50,penguin
51,chair
52,chair
53,spider
54,harp
55,nose
56,snowman
57,trombone
58,keyboard
59,nose
60,trombone
61,banana
62,skyscraper
63,banana
64,eyeglasses
65,harp
66,violin
67,laptop
68,keyboard
69,snowman
70,violin
71,chair
72,spider
73,harp
74,trombone
75,penguin
76,violin
77,harp
78,nose
79,eyeglasses
80,keyboard
81,penguin
82,trombone
83,spider
84,bulldozer
85,eyeglasses
86,bulldozer
87,banana
88,violin
89,flashlight
90,harp
91,spider
92,laptop
93,violin
94,skyscraper
95,harp
96,hand
97,banana
98,violin
99,snowman
100,pig
101,bulldozer
102,hand
103,violin
104,violin
105,foot
106,spider
107,bulldozer
108,chair
109,bulldozer
110,eyeglasses
111,pig
112,keyboard
113,banana
114,trombone
115,hand
116,banana
117,eyeglasses
118,skyscraper
119,skyscraper
120,hat
121,laptop
122,violin
123,chair
124,harp
125,trombone
126,trombone
127,pig
128,eyeglasses
129,hat
130,penguin
131,banana
132,hand
133,parrot
134,hat
135,violin
136,banana
137,snowman
138,hat
139,keyboard
140,nose
141,trombone
142,hand
143,hat
144,spider
145,chair
146,eyeglasses
147,spider
148,violin
149,spider
150,trombone
151,chair
152,foot
153,foot
154,foot
155,hand
156,violin
157,harp
158,spider
159,hat
160,eyeglasses
161,nose
162,chair
163,penguin
164,bulldozer
165,violin
166,foot
167,keyboard
168,hat
169,spider
170,trombone
171,penguin
172,pig
173,pig
174,snowman
175,banana
176,banana
177,trombone
178,flashlight
179,flashlight
180,laptop
181,laptop
182,hand
183,snowman
184,eyeglasses
185,hand
186,bulldozer
187,violin
188,trombone
189,laptop
190,keyboard
191,snowman
192,trombone
193,laptop
194,skyscraper
195,flashlight
196,eyeglasses
197,eyeglasses
198,chair
199,banana
200,chair
201,eyeglasses
202,nose
203,snowman
204,eyeglasses
205,foot
206,snowman
207,skyscraper
208,nose
209,snowman
210,bulldozer
211,harp
212,chair
213,pig
214,banana
215,nose
216,foot
217,hand
218,eyeglasses
219,penguin
220,snowman
221,violin
222,hand
223,penguin
224,hat
225,pig
226,penguin
227,eyeglasses
228,skyscraper
229,eyeglasses
230,snowman
231,spider
232,chair
233,trombone
234,keyboard
235,keyboard
236,flashlight
237,nose
238,pig
239,banana
240,parrot
241,laptop
242,flashlight
243,hand
244,violin
245,harp
246,trombone
247,keyboard
248,keyboard
249,bulldozer
250,laptop
251,bulldozer
252,parrot
253,harp
254,keyboard
255,harp
256,hat
257,pig
258,laptop
259,violin
260,eyeglasses
261,skyscraper
262,nose
263,eyeglasses
264,laptop
265,snowman
266,banana
267,nose
268,parrot
269,chair
270,violin
271,violin
272,chair
273,bulldozer
274,penguin
275,keyboard
276,violin
277,violin
278,nose
279,violin
280,bulldozer
281,chair
282,snowman
283,foot
284,banana
285,bulldozer
286,harp
287,trombone
288,keyboard
289,trombone
290,pig
291,trombone
292,keyboard
293,pig
294,violin
295,hand
296,bulldozer
297,penguin
298,penguin
299,keyboard
300,trombone
301,hat
302,spider
303,snowman
304,penguin
305,penguin
306,pig
307,penguin
308,skyscraper
309,pig
310,chair
311,pig
312,foot
313,parrot
314,eyeglasses
315,pig
316,chair
317,flashlight
318,trombone
319,trombone
320,eyeglasses
321,chair
322,banana
323,harp
324,chair
325,violin
326,snowman
327,banana
328,violin
329,banana
330,harp
331,trombone
332,pig
333,nose
334,trombone
335,hat
336,chair
337,chair
338,nose
339,penguin
340,keyboard
341,keyboard
342,chair
343,banana
344,hat
345,hat
346,keyboard
347,banana
348,trombone
349,violin
350,eyeglasses
351,banana
352,snowman
353,skyscraper
354,chair
355,bulldozer
356,chair
357,bulldozer
358,penguin
359,spider
360,chair
361,violin
362,hat
363,skyscraper
364,penguin
365,flashlight
366,hand
367,trombone
368,pig
369,keyboard
370,bulldozer
371,violin
372,snowman
373,spider
374,penguin
375,nose
376,snowman
377,flashlight
378,snowman
379,snowman
380,violin
381,nose
382,skyscraper
383,pig
384,keyboard
385,spider
386,hat
387,hat
388,hand
389,hand
390,hand
391,violin
392,pig
393,laptop
394,hat
395,chair
396,spider
397,laptop
398,hat
399,harp
400,harp
401,eyeglasses
402,bulldozer
403,keyboard
404,spider
405,skyscraper
406,snowman
407,hand
408,hand
409,snowman
410,trombone
411,pig
412,banana
413,bulldozer
414,nose
415,keyboard
416,chair
417,keyboard
418,pig
419,eyeglasses
420,snowman
421,laptop
422,hand
423,violin
424,bulldozer
425,laptop
426,laptop
427,foot
428,eyeglasses
429,banana
430,foot
431,skyscraper
432,bulldozer
433,hand
434,harp
435,trombone
436,flashlight
437,chair
438,trombone
439,chair
440,banana
441,keyboard
442,spider
443,violin
444,spider
445,trombone
446,spider
447,foot
448,penguin
449,bulldozer
450,laptop
451,bulldozer
452,trombone
453,pig
454,pig
455,violin
456,chair
457,laptop
458,harp
459,banana
460,chair
461,banana
462,eyeglasses
463,pig
464,nose
465,skyscraper
466,snowman
467,nose
468,spider
469,bulldozer
470,bulldozer
471,laptop
472,chair
473,banana
474,laptop
475,spider
476,harp
477,banana
478,violin
479,pig
480,harp
481,laptop
482,flashlight
483,eyeglasses
484,flashlight
485,flashlight
486,chair
487,snowman
488,flashlight
489,chair
490,nose
491,harp
492,keyboard
493,bulldozer
494,spider
495,skyscraper
496,violin
497,snowman
498,laptop
499,chair
500,spider
501,violin
502,violin
503,foot
504,foot
505,keyboard
506,laptop
507,trombone
508,keyboard
509,flashlight
510,skyscraper
511,snowman
512,flashlight
513,parrot
514,penguin
515,banana
516,eyeglasses
517,banana
518,harp
519,chair
520,pig
521,hand
522,parrot
523,laptop
524,eyeglasses
525,penguin
526,eyeglasses
527,bulldozer
528,hand
529,penguin
530,eyeglasses
531,violin
532,pig
533,keyboard
534,foot
535,chair
536,trombone
537,keyboard
538,trombone
539,hand
540,trombone
541,hat
542,laptop
543,chair
544,pig
545,penguin
546,trombone
547,bulldozer
548,penguin
549,eyeglasses
550,chair
551,banana
552,parrot
553,skyscraper
554,bulldozer
555,parrot
556,bulldozer
557,hat
558,spider
559,nose
560,trombone
561,bulldozer
562,laptop
563,chair
564,keyboard
565,snowman
566,skyscraper
567,pig
568,parrot
569,snowman
570,banana
571,spider
572,chair
573,penguin
574,harp
575,pig
576,skyscraper
577,hand
578,penguin
579,bulldozer
580,skyscraper
581,laptop
582,nose
583,chair
584,eyeglasses
585,pig
586,violin
587,bulldozer
588,skyscraper
589,penguin
590,banana
591,hat
592,flashlight
593,keyboard
594,laptop
595,spider
596,nose
597,penguin
598,violin
599,nose
600,hand
601,keyboard
602,penguin
603,skyscraper
604,chair
605,banana
606,spider
607,chair
608,bulldozer
609,pig
610,keyboard
611,chair
612,foot
613,skyscraper
614,banana
615,laptop
616,penguin
617,nose
618,parrot
619,keyboard
620,violin
621,skyscraper
622,trombone
623,harp
624,laptop
625,harp
626,foot
627,nose
628,eyeglasses
629,harp
630,violin
631,banana
632,laptop
633,hat
634,hat
635,violin
636,flashlight
637,bulldozer
638,bulldozer
639,parrot
640,nose
641,penguin
642,penguin
643,chair
644,parrot
645,hat
646,trombone
647,hand
648,keyboard
649,penguin
650,nose
651,laptop
652,flashlight
653,spider
654,pig
655,banana
656,nose
657,eyeglasses
658,banana
659,pig
660,foot
661,violin
662,banana
663,hand
664,spider
665,laptop
666,penguin
667,pig
668,penguin
669,hat
670,flashlight
671,hat
672,violin
673,hat
674,hand
675,banana
676,snowman
677,hand
678,hand
679,pig
680,violin
681,flashlight
682,trombone
683,harp
684,trombone
685,nose
686,harp
687,spider
688,keyboard
689,keyboard
690,keyboard
691,hat
692,violin
693,snowman
694,harp
695,skyscraper
696,penguin
697,banana
698,laptop
