ID,CATEGORY
0,snowman
1,bulldozer
2,skyscraper
3,spider
4,violin
5,violin
6,snowman
7,violin
8,parrot
9,spider
10,spider
11,eyeglasses
12,harp
13,keyboard
14,violin
15,trombone
16,bulldozer
17,nose
18,trombone
19,hand
20,trombone
21,chair
22,keyboard
23,foot
24,chair
25,keyboard
26,hand
27,spider
28,spider
29,keyboard
30,foot
31,hand
32,nose
33,violin
34,banana
35,nose
36,laptop
37,eyeglasses
38,violin
39,snowman
40,spider
41,eyeglasses
42,spider
43,skyscraper
44,chair
45,keyboard
46,trombone
47,keyboard
48,keyboard
49,nose
50,harp
51,banana
52,parrot
53,spider
54,harp
55,nose
56,snowman
57,trombone
58,spider
59,nose
60,spider
61,banana
62,skyscraper
63,violin
64,eyeglasses
65,spider
66,violin
67,foot
68,keyboard
69,snowman
70,spider
71,chair
72,bulldozer
73,harp
74,spider
75,violin
76,chair
77,harp
78,nose
79,eyeglasses
80,bulldozer
81,harp
82,trombone
83,eyeglasses
84,trombone
85,eyeglasses
86,laptop
87,eyeglasses
88,violin
89,keyboard
90,trombone
91,eyeglasses
92,banana
93,violin
94,skyscraper
95,harp
96,hand
97,nose
98,violin
99,snowman
100,chair
101,bulldozer
102,hand
103,violin
104,trombone
105,chair
106,spider
107,bulldozer
108,skyscraper
109,laptop
110,eyeglasses
111,pig
112,trombone
113,foot
114,eyeglasses
115,hand
116,chair
117,keyboard
118,nose
119,violin
120,eyeglasses
121,laptop
122,spider
123,snowman
124,harp
125,trombone
126,spider
127,pig
128,bulldozer
129,trombone
130,harp
131,snowman
132,hand
133,parrot
134,bulldozer
135,parrot
136,foot
137,hand
138,foot
139,spider
140,nose
141,chair
142,hand
143,bulldozer
144,eyeglasses
145,harp
146,eyeglasses
147,hand
148,violin
149,keyboard
150,harp
151,skyscraper
152,chair
153,nose
154,skyscraper
155,hand
156,violin
157,trombone
158,trombone
159,bulldozer
160,eyeglasses
161,nose
162,chair
163,violin
164,foot
165,eyeglasses
166,foot
167,keyboard
168,foot
169,pig
170,violin
171,snowman
172,pig
173,pig
174,skyscraper
175,banana
176,banana
177,trombone
178,trombone
179,trombone
180,banana
181,laptop
182,hand
183,nose
184,trombone
