ID,CATEGORY
0,snowman
1,hat
2,penguin
3,hand
4,skyscraper
5,violin
6,nose
7,skyscraper
8,chair
9,keyboard
10,trombone
11,eyeglasses
12,harp
13,keyboard
14,violin
15,trombone
16,bulldozer
17,nose
18,violin
19,hand
20,eyeglasses
21,chair
22,eyeglasses
23,laptop
24,penguin
25,keyboard
26,hand
27,pig
28,bulldozer
29,keyboard
30,hand
31,hand
32,foot
33,penguin
34,laptop
35,foot
36,laptop
37,trombone
38,violin
39,snowman
40,spider
41,eyeglasses
42,bulldozer
43,skyscraper
44,pig
45,keyboard
46,trombone
47,eyeglasses
48,keyboard
49,nose
50,penguin
51,nose
52,chair
53,pig
54,harp
55,nose
56,snowman
57,trombone
58,keyboard
59,nose
60,keyboard
61,banana
62,penguin
63,banana
64,eyeglasses
65,pig
66,skyscraper
67,laptop
68,keyboard
69,snowman
70,trombone
71,chair
72,hand
73,penguin
74,keyboard
75,violin
76,violin
77,harp
78,nose
79,eyeglasses
80,bulldozer
81,hand
82,trombone
83,trombone
84,keyboard
85,eyeglasses
86,laptop
87,trombone
88,violin
89,keyboard
90,eyeglasses
91,keyboard
92,bulldozer
93,snowman
94,penguin
95,harp
96,hand
97,foot
98,violin
99,snowman
100,laptop
101,bulldozer
102,hand
103,violin
104,laptop
105,chair
106,bulldozer
107,bulldozer
108,chair
109,laptop
110,keyboard
111,pig
112,trombone
113,foot
114,eyeglasses
115,hand
116,laptop
117,keyboard
118,nose
119,skyscraper
120,bulldozer
121,violin
122,pig
123,penguin
124,penguin
125,eyeglasses
126,bulldozer
127,harp
128,laptop
129,trombone
130,snowman
131,snowman
132,hand
133,pig
134,hat
135,snowman
136,foot
137,hand
138,laptop
139,trombone
140,nose
141,skyscraper
142,hand
143,hat
144,eyeglasses
145,chair
146,eyeglasses
147,harp
148,violin
149,keyboard
150,harp
151,skyscraper
152,skyscraper
153,nose
154,skyscraper
155,hand
156,violin
157,eyeglasses
158,trombone
159,hat
160,eyeglasses
161,foot
162,chair
163,penguin
164,bulldozer
165,keyboard
166,hat
167,keyboard
168,hat
169,pig
170,violin
171,penguin
172,pig
173,pig
174,skyscraper
175,nose
176,banana
177,trombone
178,trombone
179,trombone
180,bulldozer
181,laptop
182,hand
183,snowman
184,eyeglasses
185,hand
186,bulldozer
187,violin
188,flashlight
189,foot
190,keyboard
191,snowman
192,eyeglasses
193,foot
194,violin
195,trombone
196,eyeglasses
197,eyeglasses
198,trombone
199,foot
200,chair
201,eyeglasses
202,nose
203,penguin
204,eyeglasses
205,bulldozer
206,keyboard
207,skyscraper
208,nose
209,snowman
210,bulldozer
211,chair
212,harp
213,pig
214,violin
215,nose
216,hat
217,hand
218,eyeglasses
219,chair
220,snowman
221,violin
222,hand
223,penguin
224,eyeglasses
225,eyeglasses
226,penguin
227,eyeglasses
228,penguin
229,eyeglasses
230,snowman
231,spider
232,laptop
233,keyboard
234,keyboard
235,keyboard
236,flashlight
237,foot
238,eyeglasses
239,eyeglasses
240,penguin
241,foot
242,trombone
243,hand
244,violin
245,violin
246,hand
247,eyeglasses
248,keyboard
249,harp
250,harp
251,bulldozer
252,keyboard
253,harp
254,keyboard
255,harp
256,bulldozer
257,pig
258,foot
259,hand
260,eyeglasses
261,banana
262,nose
263,eyeglasses
264,laptop
265,hand
266,violin
267,banana
268,banana
269,chair
270,flashlight
271,violin
272,skyscraper
273,hat
274,penguin
275,keyboard
276,foot
277,violin
278,nose
279,violin
280,hat
281,chair
282,snowman
283,skyscraper
284,laptop
285,snowman
286,penguin
287,flashlight
288,keyboard
289,trombone
290,harp
291,trombone
292,trombone
293,banana
294,violin
295,hand
296,bulldozer
297,penguin
298,penguin
299,keyboard
300,banana
301,flashlight
302,trombone
303,penguin
304,penguin
305,penguin
306,eyeglasses
307,harp
308,chair
309,bulldozer
310,penguin
311,pig
312,nose
313,skyscraper
314,eyeglasses
315,eyeglasses
316,snowman
317,violin
318,eyeglasses
319,eyeglasses
320,violin
321,chair
322,foot
323,keyboard
324,skyscraper
325,eyeglasses
326,snowman
327,trombone
328,violin
329,laptop
330,keyboard
331,keyboard
332,harp
333,hat
334,trombone
335,bulldozer
336,chair
337,nose
338,snowman
339,penguin
340,keyboard
341,keyboard
342,harp
343,foot
344,hat
345,hat
346,keyboard
347,foot
348,eyeglasses
349,trombone
350,eyeglasses
351,nose
352,snowman
353,skyscraper
354,chair
355,bulldozer
356,laptop
357,bulldozer
358,penguin
359,spider
360,skyscraper
361,violin
362,hat
363,skyscraper
364,penguin
365,trombone
366,hand
367,trombone
368,eyeglasses
369,keyboard
370,spider
371,bulldozer
372,hand
373,spider
374,penguin
375,nose
376,snowman
377,chair
378,violin
379,snowman
380,violin
381,nose
382,skyscraper
383,pig
384,snowman
385,trombone
386,laptop
387,hat
388,hand
389,hand
390,hand
391,violin
392,pig
393,laptop
394,hat
395,chair
396,banana
397,laptop
398,laptop
399,laptop
400,laptop
401,eyeglasses
402,bulldozer
403,keyboard
404,hand
405,skyscraper
406,violin
407,skyscraper
408,penguin
409,snowman
410,eyeglasses
411,pig
412,skyscraper
413,bulldozer
414,laptop
415,keyboard
416,trombone
417,keyboard
418,pig
419,keyboard
420,eyeglasses
421,laptop
422,harp
423,bulldozer
424,bulldozer
425,harp
426,laptop
427,foot
428,eyeglasses
429,violin
430,foot
431,skyscraper
432,pig
433,pig
434,harp
435,trombone
436,hand
437,violin
438,eyeglasses
439,chair
440,laptop
441,eyeglasses
442,penguin
443,violin
444,pig
445,eyeglasses
446,spider
447,hat
448,penguin
449,bulldozer
450,keyboard
451,keyboard
452,laptop
453,hand
454,pig
455,violin
456,foot
457,laptop
458,foot
459,eyeglasses
460,chair
461,foot
462,eyeglasses
463,keyboard
464,snowman
465,nose
466,snowman
467,snowman
468,pig
469,laptop
470,bulldozer
471,bulldozer
472,violin
473,violin
474,laptop
475,skyscraper
476,harp
477,chair
478,violin
479,pig
480,harp
481,laptop
482,trombone
483,eyeglasses
484,trombone
485,violin
486,keyboard
487,snowman
488,violin
489,laptop
490,nose
491,trombone
492,keyboard
493,bulldozer
494,violin
495,chair
496,bulldozer
497,trombone
498,bulldozer
499,keyboard
500,trombone
501,keyboard
502,pig
503,foot
504,hat
505,keyboard
506,laptop
507,trombone
508,keyboard
509,violin
510,skyscraper
511,eyeglasses
512,pig
513,hand
514,penguin
515,eyeglasses
516,eyeglasses
517,pig
518,harp
519,violin
520,eyeglasses
521,hand
522,violin
523,bulldozer
524,flashlight
525,penguin
526,eyeglasses
527,keyboard
528,hand
529,skyscraper
530,eyeglasses
531,eyeglasses
532,flashlight
533,keyboard
534,hat
535,chair
536,violin
537,keyboard
538,keyboard
539,hand
540,hand
541,bulldozer
542,laptop
543,chair
544,nose
545,penguin
546,eyeglasses
547,laptop
548,violin
549,eyeglasses
550,penguin
551,eyeglasses
552,skyscraper
553,chair
554,pig
555,skyscraper
556,trombone
557,hat
558,pig
559,nose
560,eyeglasses
561,bulldozer
562,laptop
563,skyscraper
564,eyeglasses
565,snowman
566,penguin
567,hand
568,skyscraper
569,snowman
570,eyeglasses
571,pig
572,chair
573,penguin
574,harp
575,eyeglasses
576,pig
577,hand
578,harp
579,keyboard
580,skyscraper
581,harp
582,nose
583,nose
584,eyeglasses
585,pig
586,violin
587,bulldozer
588,chair
589,penguin
590,banana
591,laptop
592,spider
593,trombone
594,laptop
595,bulldozer
596,snowman
597,penguin
598,bulldozer
599,nose
600,hand
601,keyboard
602,penguin
603,violin
604,chair
605,banana
606,pig
607,chair
608,bulldozer
609,pig
610,keyboard
611,chair
612,keyboard
613,skyscraper
614,nose
615,chair
616,penguin
617,nose
618,parrot
619,eyeglasses
620,violin
621,skyscraper
622,eyeglasses
623,penguin
624,laptop
625,harp
626,laptop
627,hand
628,eyeglasses
629,penguin
630,violin
631,penguin
632,laptop
633,hat
634,hat
635,eyeglasses
636,trombone
637,spider
638,bulldozer
639,banana
640,hat
641,penguin
642,penguin
643,chair
644,banana
645,trombone
646,flashlight
647,hand
648,keyboard
649,snowman
650,nose
651,laptop
652,trombone
653,pig
654,keyboard
655,eyeglasses
656,nose
657,eyeglasses
658,violin
659,pig
660,nose
661,pig
662,skyscraper
663,harp
664,hand
665,laptop
666,penguin
667,bulldozer
668,penguin
669,laptop
670,violin
671,flashlight
672,trombone
673,laptop
674,eyeglasses
675,laptop
676,snowman
677,hand
678,snowman
679,hand
680,nose
681,violin
682,spider
683,harp
684,spider
685,nose
686,harp
687,trombone
688,keyboard
689,eyeglasses
690,keyboard
691,hat
692,pig
693,snowman
694,laptop
695,violin
696,harp
697,hand
698,hat
699,hat
700,penguin
701,skyscraper
702,bulldozer
703,nose
704,banana
705,eyeglasses
706,bulldozer
707,eyeglasses
708,trombone
709,violin
710,hand
711,harp
712,nose
713,harp
714,eyeglasses
715,laptop
716,harp
717,trombone
718,skyscraper
719,pig
720,keyboard
721,harp
722,keyboard
723,snowman
724,laptop
725,violin
726,keyboard
727,skyscraper
728,eyeglasses
729,hand
730,spider
731,penguin
732,laptop
733,hat
734,laptop
735,snowman
736,penguin
737,spider
738,keyboard
739,pig
740,hand
741,penguin
742,foot
743,keyboard
744,pig
745,pig
746,foot
747,nose
748,pig
749,laptop
750,bulldozer
751,flashlight
752,bulldozer
753,bulldozer
754,nose
755,laptop
756,penguin
757,trombone
758,harp
759,snowman
760,keyboard
761,hand
762,penguin
763,keyboard
764,banana
765,chair
766,pig
767,eyeglasses
768,hat
769,eyeglasses
770,pig
771,nose
772,penguin
773,snowman
774,eyeglasses
775,hat
776,hat
777,bulldozer
778,foot
779,harp
780,banana
781,keyboard
782,violin
783,hat
784,harp
785,hat
786,flashlight
787,hat
788,skyscraper
789,pig
790,bulldozer
791,keyboard
792,violin
793,eyeglasses
794,laptop
795,pig
796,bulldozer
797,keyboard
798,violin
799,hat
800,snowman
801,hand
802,harp
803,foot
804,trombone
805,laptop
806,laptop
807,snowman
808,parrot
809,flashlight
810,penguin
811,nose
812,pig
813,harp
814,skyscraper
815,harp
816,violin
817,hand
818,banana
819,nose
820,banana
821,laptop
822,harp
823,harp
824,penguin
825,bulldozer
826,eyeglasses
827,penguin
828,laptop
829,snowman
830,laptop
831,skyscraper
832,penguin
833,chair
834,hat
835,violin
836,eyeglasses
837,keyboard
838,pig
839,bulldozer
840,snowman
841,harp
842,harp
843,nose
844,hand
845,eyeglasses
846,penguin
847,snowman
848,hand
849,nose
850,banana
851,eyeglasses
852,foot
853,nose
854,trombone
855,penguin
856,bulldozer
857,trombone
858,nose
859,hand
860,penguin
861,skyscraper
862,violin
863,banana
864,eyeglasses
865,hat
866,hand
867,hand
868,spider
869,trombone
870,hand
871,skyscraper
872,pig
873,harp
874,laptop
875,hat
876,hat
877,bulldozer
878,hand
879,violin
880,eyeglasses
881,skyscraper
882,keyboard
883,foot
884,violin
885,pig
886,penguin
887,keyboard
888,eyeglasses
889,skyscraper
890,hat
891,eyeglasses
892,harp
893,hand
894,laptop
895,foot
896,pig
897,pig
898,snowman
899,banana
900,violin
901,pig
902,harp
903,pig
904,nose
905,laptop
906,keyboard
907,bulldozer
908,penguin
909,penguin
910,violin
911,nose
912,snowman
913,chair
914,trombone
915,bulldozer
916,pig
917,hand
918,nose
919,harp
920,snowman
921,nose
922,eyeglasses
923,chair
924,chair
925,laptop
926,eyeglasses
927,eyeglasses
928,nose
929,penguin
930,snowman
931,foot
932,foot
933,hand
934,harp
935,penguin
936,eyeglasses
937,bulldozer
938,keyboard
939,pig
940,laptop
941,bulldozer
942,violin
943,pig
944,snowman
945,laptop
946,trombone
947,hand
948,skyscraper
949,snowman
950,skyscraper
951,snowman
952,eyeglasses
953,eyeglasses
954,keyboard
955,violin
956,violin
957,trombone
958,trombone
959,keyboard
960,violin
961,trombone
962,chair
963,trombone
964,snowman
965,banana
966,pig
967,chair
968,violin
969,penguin
970,laptop
971,snowman
972,harp
973,hand
974,laptop
975,violin
976,hand
977,violin
978,penguin
979,hand
980,keyboard
981,eyeglasses
982,snowman
983,harp
984,harp
985,bulldozer
986,skyscraper
987,penguin
988,pig
989,snowman
990,penguin
991,skyscraper
992,laptop
993,skyscraper
994,eyeglasses
995,trombone
996,eyeglasses
997,harp
998,harp
999,bulldozer
1000,hand
1001,laptop
1002,harp
1003,nose
1004,penguin
1005,nose
1006,eyeglasses
1007,skyscraper
1008,laptop
1009,violin
1010,harp
1011,flashlight
1012,banana
1013,pig
1014,pig
1015,harp
1016,hand
1017,violin
1018,banana
1019,foot
1020,spider
1021,parrot
1022,foot
1023,eyeglasses
1024,violin
1025,violin
1026,trombone
1027,chair
1028,snowman
1029,hat
1030,hand
1031,laptop
1032,keyboard
1033,banana
1034,eyeglasses
1035,keyboard
1036,nose
1037,snowman
1038,hand
1039,harp
1040,snowman
1041,nose
1042,keyboard
1043,hand
1044,chair
1045,hand
1046,chair
1047,pig
1048,trombone
1049,violin
1050,trombone
1051,chair
1052,penguin
1053,parrot
1054,eyeglasses
1055,foot
1056,nose
1057,nose
1058,harp
1059,eyeglasses
1060,eyeglasses
1061,nose
1062,trombone
1063,pig
1064,nose
1065,laptop
1066,hand
1067,violin
1068,hat
1069,keyboard
1070,violin
1071,laptop
1072,violin
1073,hat
1074,violin
1075,laptop
1076,laptop
1077,trombone
1078,eyeglasses
1079,bulldozer
1080,hat
1081,hat
1082,harp
1083,chair
1084,harp
1085,trombone
1086,eyeglasses
1087,skyscraper
1088,harp
1089,keyboard
1090,penguin
1091,bulldozer
1092,keyboard
1093,skyscraper
1094,pig
1095,snowman
1096,flashlight
1097,hand
1098,banana
1099,skyscraper
1100,pig
1101,hand
1102,violin
1103,harp
1104,spider
1105,foot
1106,keyboard
1107,violin
1108,bulldozer
1109,eyeglasses
1110,harp
1111,snowman
1112,laptop
1113,penguin
1114,snowman
1115,laptop
1116,violin
1117,chair
1118,violin
1119,penguin
1120,flashlight
1121,skyscraper
1122,violin
1123,penguin
1124,keyboard
1125,eyeglasses
1126,snowman
1127,chair
1128,keyboard
1129,laptop
1130,harp
1131,snowman
1132,keyboard
1133,chair
1134,bulldozer
1135,laptop
1136,keyboard
1137,pig
1138,pig
1139,laptop
1140,keyboard
1141,bulldozer
1142,eyeglasses
1143,penguin
1144,chair
1145,violin
1146,keyboard
1147,penguin
1148,banana
1149,skyscraper
1150,violin
1151,violin
1152,spider
1153,nose
1154,hand
1155,keyboard
1156,violin
1157,eyeglasses
1158,hand
1159,eyeglasses
1160,eyeglasses
1161,chair
1162,harp
1163,eyeglasses
1164,penguin
1165,laptop
1166,keyboard
1167,hand
1168,chair
1169,trombone
1170,pig
1171,snowman
1172,eyeglasses
1173,penguin
1174,foot
1175,violin
1176,keyboard
1177,keyboard
1178,pig
1179,hat
1180,keyboard
1181,nose
1182,snowman
1183,eyeglasses
1184,penguin
1185,foot
1186,spider
1187,harp
1188,skyscraper
1189,laptop
1190,violin
1191,trombone
1192,penguin
1193,laptop
1194,pig
1195,keyboard
1196,harp
1197,penguin
1198,violin
1199,snowman
1200,violin
1201,nose
1202,nose
1203,snowman
1204,banana
1205,harp
1206,violin
1207,snowman
1208,trombone
1209,eyeglasses
1210,bulldozer
1211,hat
1212,penguin
1213,bulldozer
1214,penguin
1215,foot
1216,harp
1217,hat
1218,parrot
1219,bulldozer
1220,banana
1221,laptop
1222,hand
1223,eyeglasses
1224,laptop
1225,violin
1226,snowman
1227,flashlight
1228,violin
1229,eyeglasses
1230,banana
1231,hat
1232,nose
1233,hat
1234,violin
1235,snowman
1236,parrot
1237,banana
1238,laptop
1239,eyeglasses
1240,laptop
1241,bulldozer
1242,violin
1243,bulldozer
1244,banana
1245,hat
1246,hat
1247,hand
1248,bulldozer
1249,keyboard
1250,nose
1251,hat
1252,hand
1253,penguin
1254,snowman
1255,hand
1256,violin
1257,eyeglasses
1258,keyboard
1259,skyscraper
1260,eyeglasses
1261,flashlight
1262,eyeglasses
1263,snowman
1264,harp
1265,flashlight
1266,trombone
1267,nose
1268,snowman
1269,keyboard
1270,harp
1271,harp
1272,hand
1273,hat
1274,penguin
1275,nose
1276,trombone
1277,laptop
1278,violin
1279,spider
1280,laptop
1281,keyboard
1282,violin
1283,penguin
1284,chair
1285,keyboard
1286,banana
1287,violin
1288,harp
1289,laptop
1290,harp
1291,penguin
1292,pig
1293,laptop
1294,harp
1295,hand
1296,hand
1297,penguin
1298,bulldozer
1299,harp
1300,hand
1301,penguin
1302,hat
1303,chair
1304,eyeglasses
1305,harp
1306,harp
1307,violin
1308,foot
1309,penguin
1310,hat
1311,snowman
1312,penguin
1313,keyboard
1314,penguin
1315,laptop
1316,laptop
1317,hat
1318,eyeglasses
1319,eyeglasses
1320,hand
1321,penguin
1322,bulldozer
1323,eyeglasses
1324,laptop
1325,laptop
1326,harp
1327,trombone
1328,skyscraper
1329,pig
1330,foot
1331,harp
1332,eyeglasses
1333,eyeglasses
1334,pig
1335,snowman
1336,keyboard
1337,penguin
1338,harp
1339,pig
1340,pig
1341,chair
1342,pig
1343,eyeglasses
1344,snowman
1345,trombone
1346,skyscraper
1347,nose
1348,trombone
1349,eyeglasses
1350,nose
1351,foot
1352,violin
1353,hand
1354,penguin
1355,laptop
1356,hand
1357,bulldozer
1358,banana
1359,eyeglasses
1360,harp
1361,foot
1362,harp
1363,penguin
1364,pig
1365,laptop
1366,bulldozer
1367,hand
1368,foot
1369,banana
1370,keyboard
1371,keyboard
1372,trombone
1373,hand
1374,hat
1375,bulldozer
1376,banana
1377,penguin
1378,banana
1379,violin
1380,bulldozer
1381,laptop
1382,pig
1383,harp
1384,eyeglasses
1385,keyboard
1386,bulldozer
1387,laptop
1388,hat
1389,laptop
1390,violin
1391,keyboard
1392,flashlight
1393,trombone
1394,trombone
1395,hat
1396,laptop
1397,pig
1398,laptop
1399,harp
1400,skyscraper
1401,skyscraper
1402,banana
1403,harp
1404,eyeglasses
1405,bulldozer
1406,skyscraper
1407,trombone
1408,hat
1409,keyboard
1410,skyscraper
1411,keyboard
1412,trombone
1413,keyboard
1414,penguin
1415,banana
1416,harp
1417,hand
1418,bulldozer
1419,eyeglasses
1420,trombone
1421,snowman
1422,snowman
1423,keyboard
1424,nose
1425,eyeglasses
1426,snowman
1427,hand
1428,harp
1429,pig
1430,skyscraper
1431,eyeglasses
1432,eyeglasses
1433,hat
1434,foot
1435,violin
1436,eyeglasses
1437,chair
